ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
DC1117EW0155,Count,Person,"50 oed, Gwrywod"
DC1117EW0156,Count,Person,"50 oed, Benywod"
DC1117EW0157,Count,Person,"51 oed, Pob categori: Rhyw"
DC1117EW0158,Count,Person,"51 oed, Gwrywod"
DC1117EW0159,Count,Person,"51 oed, Benywod"
DC1117EW0160,Count,Person,"52 oed, Pob categori: Rhyw"
DC1117EW0161,Count,Person,"52 oed, Gwrywod"
DC1117EW0162,Count,Person,"52 oed, Benywod"
DC1117EW0163,Count,Person,"53 oed, Pob categori: Rhyw"
DC1117EW0164,Count,Person,"53 oed, Gwrywod"
DC1117EW0165,Count,Person,"53 oed, Benywod"
DC1117EW0166,Count,Person,"54 oed, Pob categori: Rhyw"
DC1117EW0167,Count,Person,"54 oed, Gwrywod"
DC1117EW0168,Count,Person,"54 oed, Benywod"
DC1117EW0169,Count,Person,"55 oed, Pob categori: Rhyw"
DC1117EW0170,Count,Person,"55 oed, Gwrywod"
DC1117EW0171,Count,Person,"55 oed, Benywod"
DC1117EW0172,Count,Person,"56 oed, Pob categori: Rhyw"
DC1117EW0173,Count,Person,"56 oed, Gwrywod"
DC1117EW0174,Count,Person,"56 oed, Benywod"
DC1117EW0175,Count,Person,"57 oed, Pob categori: Rhyw"
DC1117EW0176,Count,Person,"57 oed, Gwrywod"
DC1117EW0177,Count,Person,"57 oed, Benywod"
DC1117EW0178,Count,Person,"58 oed, Pob categori: Rhyw"
DC1117EW0179,Count,Person,"58 oed, Gwrywod"
DC1117EW0180,Count,Person,"58 oed, Benywod"
DC1117EW0181,Count,Person,"59 oed, Pob categori: Rhyw"
DC1117EW0182,Count,Person,"59 oed, Gwrywod"
DC1117EW0183,Count,Person,"59 oed, Benywod"
DC1117EW0184,Count,Person,"60 oed, Pob categori: Rhyw"
DC1117EW0185,Count,Person,"60 oed, Gwrywod"
DC1117EW0186,Count,Person,"60 oed, Benywod"
DC1117EW0187,Count,Person,"61 oed, Pob categori: Rhyw"
DC1117EW0188,Count,Person,"61 oed, Gwrywod"
