ColumnVariableCode,ColumnVariableMeasurementUnitValue,ColumnVariableStatisticalUnitValue,ColumnVariableCodeValue,ColumnVariableParentCodeValue
GeographyCode,,,Geography Code
DC1117EW0045,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_013, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0046,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_014, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0047,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_014, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0048,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_014, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0049,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_015, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0050,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_015, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0051,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_015, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0052,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_016, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0053,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_016, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0054,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_016, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0055,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_017, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0056,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_017, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0057,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_017, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0058,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_018, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0059,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_018, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0060,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_018, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0061,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_019, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0062,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_019, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0063,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_019, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0064,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_020, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0065,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_020, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0066,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_020, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0067,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_021, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
DC1117EW0068,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_021, F@5f@PERSON_SEX@5f@T003A|C_SEX_1",
DC1117EW0069,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_021, F@5f@PERSON_SEX@5f@T003A|C_SEX_2",
DC1117EW0070,count,F_PERSON_F@5f@PERSON,"F@5f@PERSON_AGE@5f@T087A|C_AGE_022, F@5f@PERSON_SEX@5f@T003A|C_SEX_TOTAL",
